ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
81793947,Женщина,34,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,10-15 лет,5-10 лет,Медицина;,До 50 человек,мед регистратор,100,15 000 — 30 000,Нет,18.27811473235922,19.770496396088884,21.61238352566854,13,12,5,12,8,8,11,15,9,11,19,5,5,24,29,24
81793788,Женщина,33,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),10-15 лет,10-15 лет,Другое,До 500 человек,диспетчер 01,17000,15 000 — 30 000,Нет,22.887490633689104,23.419617359903313,27.200828261912577,16,12,5,13,13,16,11,19,15,15,21,5,7,36,31,26
81793517,Женщина,47,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,3-5 лет,"Продажи, закупки;",До 500 человек,менеджер,100,30 000 — 60 000,Нет,12.049106274839676,19.30228791854416,16.500492411807784,15,19,10,19,14,12,8,12,8,5,15,12,17,40,28,21
81793406,Женщина,37,Москва,Неоконченное высшее,15-20 лет,10-15 лет,Медицина;,До 500 человек,медсестра,100,30 000 — 60 000,Да,14.28454126289704,17.29209895914377,14.977046034191055,17,16,8,16,12,12,16,17,11,12,20,19,17,35,33,21
81793240,Мужчина,45,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),20 + лет,5-10 лет,Обслуживание;,До 50 человек,ИП,100,30 000 — 60 000,Затрудняюсь ответить,14.62763301031763,20.750518750972525,18.029973990555796,13,10,7,10,10,9,16,16,10,12,20,6,11,33,27,20
81793096,Женщина,38,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,10-15 лет,"Продажи, закупки;",До 50 человек,Индивидуальный предприниматель,70,60 000 — 100 000,Нет,19.140631289769765,18.191854030292948,24.253756218277317,14,13,8,12,9,8,12,16,13,11,20,6,11,34,27,14
81793038,Мужчина,45,Москва,Среднее общее (11 классов),20 + лет,5-10 лет,Общественное питание;,До 500 человек,курьер,0,100 000 — 150 000,Да,3.6569082525794077,16.733434238464195,15.13582990328527,11,16,7,13,4,8,8,13,6,10,12,23,24,34,29,23
81792913,Женщина,35,Москва,Высшее,10-15 лет,3-5 лет,Логистика;,До 500 человек,руководитель среднего звена,100,100 000 — 150 000,Нет,20.2125862763334,17.29209895914377,21.559455569303807,21,17,10,16,13,13,19,20,14,15,24,5,5,45,36,32
81792901,Женщина,48,Город с численностью жителей миллион и более человек,Неоконченное высшее,20 + лет,15-20 лет,Образование;,До 50 человек,Воспитатель,90,30 000 — 60 000,Затрудняюсь ответить,21.109782123917835,24.20893854280128,27.200828261912577,20,19,11,20,12,11,13,17,14,13,16,7,13,35,34,17
81792742,Женщина,28,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),5-10 лет,5-10 лет,Образование;,До 50 человек,повар,16500,15 000 — 30 000,Да,14.706014527419086,14.603022705096627,13.335673341582282,16,14,4,9,8,13,9,12,5,11,14,18,18,19,31,23
81792613,Женщина,32,Город с численностью жителей миллион и более человек,Неоконченное высшее,10-15 лет,5-10 лет,Торговля;,До 500 человек,бухгалтер,100,30 000 — 60 000,Затрудняюсь ответить,10.843497970008542,15.502777776245805,16.977046034191055,19,15,5,14,8,4,11,14,11,7,19,14,11,30,25,13
81792598,Мужчина,43,Москва,Высшее,20 + лет,5-10 лет,Производство;,До 50 человек,ГД,100,200 000 — 400 000,Затрудняюсь ответить,12.578787739689403,13.944113055566227,16.029973990555796,15,20,11,16,8,6,20,20,9,13,19,5,7,40,23,20
81792516,Женщина,40,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,5-10 лет,Торговля;,До 50 человек,директор,50,150 000 — 200 000,Затрудняюсь ответить,13.82681478461095,11.703267633947451,16.447564455443043,15,13,8,12,10,10,20,19,12,15,25,5,6,17,29,17
81792412,Женщина,27,Москва,Высшее,3-5 лет,1-3 года,Другое,До 500 человек,руководитель отдела,80,60 000 — 100 000,Да,22.83864536306088,22.419617359903313,24.194793060781294,19,20,11,19,13,10,17,20,14,15,22,9,11,37,28,25
81792340,Мужчина,52,Город с численностью от 50 тысяч до 100 тысяч,Среднее общее (11 классов),15-20 лет,0-1 года,Транспорт;,До 50 человек,водитель,50,30 000 — 60 000,Нет,10.970724757738223,10.375259375486262,12.335673341582282,13,12,6,12,7,9,16,12,10,10,16,10,10,28,25,16
81792284,Женщина,38,Город с численностью от 100 тысяч до 500 тысяч,Высшее,3-5 лет,5-10 лет,Торговля;,До 50 человек,руководитель,80,0 — 15 000,Нет,21.037827137354196,22.309183471652105,27.78323779702533,11,13,5,14,9,7,18,16,12,14,18,6,8,41,28,7
81791975,Мужчина,46,Город с численностью жителей миллион и более человек,Неоконченное высшее,20 + лет,1-3 года,Транспорт;,До 500 человек,водитель,30,30 000 — 60 000,Нет,18.43487776656213,19.9412199229582,18.55342036817252,20,15,10,15,11,10,15,13,9,15,21,5,5,29,30,25
81791620,Женщина,40,Санкт-Петербург,Высшее,5-10 лет,1-3 года,Обслуживание;,До 50 человек,диспетчер,60,30 000 — 60 000,Да,15.62763301031763,19.171876385176592,17.447564455443043,15,12,8,11,8,8,8,14,10,12,14,13,15,31,27,22
81791492,Мужчина,54,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,20 + лет,Производство;,1000+ человек,инженер,80,60 000 — 100 000,Да,3.6569082525794077,3.4584197918287547,4.111891113860761,18,10,5,13,7,5,4,6,4,8,5,21,24,33,24,16
81790782,Женщина,32,Санкт-Петербург,Высшее,5-10 лет,3-5 лет,Производство;,1000+ человек,руковолитель цеха,90,60 000 — 100 000,Затрудняюсь ответить,15.398914989551086,18.62010721760496,18.029973990555796,13,15,8,14,6,6,17,14,13,12,22,5,9,31,28,22
