ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65979526,Женщина,38,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),5-10 лет,3-5 лет,Торговля;,До 50 человек,оператор,100,15 000 — 30 000,Нет,26.239549033005968,28.563695686310435,17.827707836106192,19,16,10,17,12,11,15,17,13,12,19
65979515,Женщина,28,Москва,Высшее,10-15 лет,5-10 лет,Логистика;,1000+ человек,старший специалист,70,60 000 — 100 000,Нет,27.028168111666186,25.57866091106421,16.067357977328466,15,13,7,10,9,14,10,12,10,15,18
65979508,Мужчина,36,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),15-20 лет,15-20 лет,Производство;,До 1000 человек,вулканизаторщик,87,30 000 — 60 000,Нет,19.006696851291505,19.11726506971121,13.168100586267796,18,15,9,15,12,12,12,13,9,14,20
65979444,Женщина,29,Москва,Неоконченное высшее,3-5 лет,0-1 года,"Продажи, закупки;",До 50 человек,продавец-кассир,10,30 000 — 60 000,Да,18.603853180900792,30.45521387199462,13.632325808790558,17,20,9,18,7,11,14,15,12,15,17
65979438,Женщина,33,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,0-1 года,"Финансы, бухгалтерия, банки;",До 50 человек,Контент-менеджер,100,15 000 — 30 000,Нет,28.924314557128927,32.455213871994616,18.77733653163653,16,19,10,17,12,9,20,20,13,15,23
65979402,Женщина,39,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,3-5 лет,"Финансы, бухгалтерия, банки;",До 50 человек,Владелец бизнеса,80,30 000 — 60 000,Нет,26.1441880409566,32.455213871994616,16.827707836106192,24,20,12,20,12,16,20,20,14,15,24
65979363,Женщина,42,Город с численностью жителей миллион и более человек,Неоконченное высшее,20 + лет,0-1 года,Торговля;,До 500 человек,заместитель директора магазина,100,15 000 — 30 000,Да,29.66353776462987,23.747457719363315,19.632325808790558,24,17,11,16,6,6,5,8,10,15,23
65979284,Женщина,33,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,10-15 лет,1-3 года,Торговля;,1000+ человек,бухгалтер,100,30 000 — 60 000,Нет,26.35556896229638,28.737475372996293,18.77733653163653,15,16,10,15,10,11,15,15,12,13,19
65979021,Мужчина,40,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,5-10 лет,строительство,До 50 человек,рабочий,30000,15 000 — 30 000,Да,28.924314557128927,25.675897604566817,18.632325808790558,22,20,8,16,12,11,7,11,5,11,16
65978949,Мужчина,35,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,10-15 лет,3-5 лет,Транспорт;,До 50 человек,водитель,100,30 000 — 60 000,Нет,22.1441880409566,28.675897604566817,16.827707836106192,22,19,11,18,15,16,20,20,15,15,25
65978888,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,3-5 лет,Транспорт;,1000+ человек,Главный ревизор,100,100 000 — 150 000,Нет,24.450686892349676,28.50608028647176,18.77733653163653,22,17,9,17,8,10,19,20,15,14,25
65978882,Мужчина,41,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,3-5 лет,Транспорт;,1000+ человек,специалист по транспорту,100,60 000 — 100 000,Да,21.844954863107077,20.9897686394247,13.168100586267796,12,9,6,10,9,12,10,10,8,11,18
65978871,Женщина,39,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,1-3 года,Образование;,До 50 человек,администратор,100,15 000 — 30 000,Да,24.566949883636163,25.77043470392481,13.978821749515188,17,20,9,18,9,8,9,14,8,12,18
65978843,Женщина,33,Москва,Высшее,10-15 лет,3-5 лет,Медицина;,До 50 человек,врач,30,100 000 — 150 000,Нет,29.71293363578915,26.847306984384417,8.5084933364294,18,15,8,14,11,12,17,17,12,15,24
65978832,Мужчина,44,Москва,Неоконченное высшее,20 + лет,20 + лет,"Продажи, закупки;",До 500 человек,начальник склада,100,100 000 — 150 000,Нет,26.93280711961682,30.565045483382743,14.023089863421827,23,14,11,14,11,11,14,15,6,13,20
65978743,Мужчина,41,Москва,Неоконченное высшее,15-20 лет,10-15 лет,Производство;,До 500 человек,столяр,50,60 000 — 100 000,Затрудняюсь ответить,18.313438764680654,20.118614866783517,11.218471890737462,18,14,12,18,12,12,20,20,10,15,24
65978677,Женщина,42,Санкт-Петербург,Неоконченное высшее,20 + лет,5-10 лет,Медицина;,До 50 человек,администратор,0,30 000 — 60 000,Да,24.575685508120124,27.86202994448795,16.632325808790558,15,14,8,14,9,6,10,13,9,12,17
65978635,Женщина,51,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,15-20 лет,Производство;,1000+ человек,производственный мастер,100,30 000 — 60 000,Нет,24.343402587543228,24.991118436497008,15.023089863421827,24,20,12,20,16,16,20,20,9,15,25
65978625,Женщина,37,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,5-10 лет,0-1 года,интернет,До 50 человек,блогер,90,30 000 — 60 000,Нет,22.82405286386996,33.455213871994616,13.262740004644101,16,20,10,19,8,8,18,19,14,15,23
65978603,Мужчина,51,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,3-5 лет,Юриспруденция;,До 50 человек,Юрисконсульт,100,100 000 — 150 000,Нет,30.501552714449367,32.455213871994616,19.632325808790558,16,20,10,20,14,13,20,16,12,15,25
65978488,Мужчина,46,Город с численностью от 100 тысяч до 500 тысяч,Основное общее (9 классов),20 + лет,1-3 года,Самозанятый,До 50 человек,Продавец,75,15 000 — 30 000,Нет,20.630143191498107,23.051675695130537,11.5084933364294,13,11,5,13,10,10,16,15,9,11,21
65978472,Женщина,41,Город с численностью жителей миллион и более человек,Высшее,15-20 лет,10-15 лет,Обслуживание;,До 1000 человек,начальник центра обслуживания клиентов,75,100 000 — 150 000,Нет,27.230813408522003,25.956567043845943,19.632325808790558,22,15,9,16,7,7,7,13,6,13,21
65978430,Женщина,43,Санкт-Петербург,Два и более высших и/или научная степень,15-20 лет,3-5 лет,консультации,До 50 человек,визовый менеджер,15,100 000 — 150 000,Нет,30.501552714449367,26.69920387640467,7.609235945368731,16,17,9,18,10,12,12,15,10,15,24
