ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5
65977657,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,3-5 лет,3-5 лет,Обслуживание;,1000+ человек,оператор связи 1 коасса,80,15 000 — 30 000,Да,35,34,16,9,15,9,12,16,14,7,11,7,14,23
65977546,Мужчина,37,Город с численностью менее 50 тысяч,Высшее,15-20 лет,3-5 лет,Производство;,До 50 человек,Электромонтер,100,15 000 — 30 000,Нет,30,24,18,16,16,5,12,9,11,14,19,15,15,25
65977514,Женщина,37,Москва,Два и более высших и/или научная степень,5-10 лет,1-3 года,Образование;,До 500 человек,инженер,100,100 000 — 150 000,Да,26,27,15,11,14,9,12,10,9,17,16,14,14,19
65977503,Женщина,41,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,5-10 лет,Архивная деятельность,До 500 человек,Документовед,100,15 000 — 30 000,Да,18,29,14,18,19,11,19,10,14,7,16,12,13,14
65977400,Женщина,40,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,10-15 лет,3-5 лет,"Финансы, бухгалтерия, банки;",До 500 человек,старший менеджер- операционист,50,30 000 — 60 000,Да,20,15,12,14,14,6,14,8,9,14,16,9,10,16
65977277,Женщина,40,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,15-20 лет,5-10 лет,Производство;,До 500 человек,проект менеджер,1000,100 000 — 150 000,Нет,32,28,18,20,16,9,15,11,15,20,19,15,15,25
65977145,Мужчина,29,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),0-1 года,0-1 года,Производство;,До 500 человек,грузчик,45,30 000 — 60 000,Да,33,30,21,16,18,8,16,7,5,11,13,11,15,19
65977072,Женщина,28,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,3-5 лет,0-1 года,Красота и здоровье;,До 500 человек,менеджер по связям с общественностью,15,15 000 — 30 000,Затрудняюсь ответить,26,22,14,16,15,5,19,5,6,5,11,9,11,16
65977025,Женщина,44,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,15-20 лет,10-15 лет,консалтинговые услуги,1000+ человек,начальник архивного отдела,30,60 000 — 100 000,Да,32,32,21,18,20,10,20,14,9,8,5,5,10,18
65976981,Женщина,31,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,5-10 лет,Обслуживание;,До 50 человек,Директор,18000,30 000 — 60 000,Нет,35,32,18,16,16,8,14,12,9,19,19,14,13,25
65976890,Мужчина,54,Москва,Высшее,20 + лет,20 + лет,Образование;,1000+ человек,преподаватель,85,60 000 — 100 000,Затрудняюсь ответить,30,25,19,19,15,5,16,10,10,12,16,10,15,19
65976839,Женщина,32,Поселок городского типа,Неоконченное высшее,10-15 лет,1-3 года,"Продажи, закупки;",До 50 человек,упровляющая,50,15 000 — 30 000,Да,31,28,19,15,12,6,11,9,10,8,10,10,9,16
65976783,Женщина,53,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),15-20 лет,10-15 лет,Образование;,До 50 человек,Заведующий хозяйством,13000,0 — 15 000,Нет,22,26,16,12,11,8,10,8,7,8,13,9,15,22
65976620,Женщина,39,Село,Высшее,10-15 лет,5-10 лет,Медицина;,До 500 человек,медсестра,13000,15 000 — 30 000,Да,25,23,15,13,11,6,12,6,9,5,6,4,5,7
65976451,Женщина,37,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,10-15 лет,Медицина;,1000+ человек,статистик,50,15 000 — 30 000,Нет,32,32,21,16,13,4,10,11,12,12,15,15,15,25
65976401,Мужчина,43,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,15-20 лет,Производство;,До 500 человек,Начальник участка,30,60 000 — 100 000,Нет,32,29,19,15,15,10,14,10,10,13,15,10,12,19
65976394,Мужчина,43,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,20 + лет,МЧС России,1000+ человек,Старший помощник начальника дежурной смены,100,60 000 — 100 000,Нет,35,35,21,14,12,4,12,8,8,4,10,3,13,19
65976275,Женщина,33,Город с численностью от 50 тысяч до 100 тысяч,Высшее,10-15 лет,5-10 лет,"Финансы, бухгалтерия, банки;",1000+ человек,кредитный аналитик,90,30 000 — 60 000,Нет,24,21,11,14,9,6,9,8,9,11,14,8,14,17
65976258,Мужчина,25,Город с численностью от 50 тысяч до 100 тысяч,Неоконченное высшее,3-5 лет,0-1 года,Производство;,До 50 человек,Машинист,40,30 000 — 60 000,Нет,32,30,17,19,11,8,13,10,7,17,20,13,15,23
65976226,Мужчина,40,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,15-20 лет,Производство;,До 50 человек,инженер,70,15 000 — 30 000,Да,26,26,17,15,15,8,13,10,6,5,9,9,14,16
65976201,Мужчина,48,Поселок городского типа,Неоконченное высшее,5-10 лет,0-1 года,Обслуживание;,До 50 человек,рабочий,50,15 000 — 30 000,Да,25,24,15,21,19,10,17,12,14,15,15,9,12,19
65976089,Мужчина,37,Город с численностью жителей миллион и более человек,Неоконченное высшее,10-15 лет,3-5 лет,Обслуживание;,До 500 человек,Начальник отдела,50,60 000 — 100 000,Нет,34,35,16,10,11,4,10,9,9,20,19,13,14,23
65976054,Женщина,46,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,10-15 лет,"Финансы, бухгалтерия, банки;",До 1000 человек,Бухгалтер,100,30 000 — 60 000,Нет,32,30,21,12,16,10,19,12,9,12,11,10,12,17
65975743,Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,5-10 лет,"Продажи, закупки;",До 50 человек,риэлтор,-1,15 000 — 30 000,Да,21,26,3,12,11,7,11,8,11,4,6,3,10,19
65975733,Мужчина,51,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,20 + лет,10-15 лет,Образование;,До 500 человек,Руководитель подразделения,70,100 000 — 150 000,Нет,27,31,20,14,17,7,20,7,10,20,18,10,13,15
65975279,Женщина,32,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,5-10 лет,Торговля;,1000+ человек,оператор,100,30 000 — 60 000,Нет,31,29,17,20,15,10,15,10,12,20,18,10,15,25
65975098,Женщина,37,Город с численностью менее 50 тысяч,Среднее общее (11 классов),10-15 лет,0-1 года,"Продажи, закупки;",До 50 человек,продавец,25,15 000 — 30 000,Затрудняюсь ответить,25,22,11,11,12,4,12,10,10,11,15,11,9,16
65975018,Женщина,35,Москва,Высшее,15-20 лет,15-20 лет,Медицина;,1000+ человек,руководитель,75,150 000 — 200 000,Нет,35,33,19,18,16,9,15,8,8,16,18,15,15,23
65974993,Мужчина,52,Санкт-Петербург,Неоконченное высшее,15-20 лет,5-10 лет,инженерия,До 500 человек,электромеханик,69,30 000 — 60 000,Да,29,23,13,19,14,8,13,11,11,8,14,7,12,20
65974803,Женщина,37,Москва,Высшее,15-20 лет,0-1 года,"Финансы, бухгалтерия, банки;",До 500 человек,менеджер,100,30 000 — 60 000,Нет,26,25,16,20,12,9,14,8,8,18,15,11,11,22
65974778,Мужчина,42,Город с численностью жителей миллион и более человек,Высшее,20 + лет,3-5 лет,Торговля;,До 50 человек,руководитель отдела,100,30 000 — 60 000,Нет,35,35,17,24,20,12,20,15,13,20,19,15,15,25
